employer,total_approvals,total_denials,years_active,latest_year,state,city,sponsor_score,total_petitions,approval_rate,employer_clean,top_roles,median_salary_all,total_lca_filings,role_category
RIVIAN AUTOMOTIVE LLC,1694,6,5,2023,CA,IRVINE,99.8,1700,0.996,,,,,
DFS CORPORATE SERVICES LLC,1389,5,5,2023,IL,RIVERWOODS,99.8,1394,0.996,DFS CORPORATE SERVICES LLC,"Application Engineer, Principal Application Engineer, Data Engineer, Full Stack Engineer, Software Engineer",103000.0,170.0,Software & IT
VERIZON DATA SERVICES LLC,1373,6,5,2023,NJ,BASKING RIDGE,99.7,1379,0.996,VERIZON DATA SERVICES LLC,"Full Stack Engineer, Solutions Architect, Data Engineer, Sr Engr Cslt-Software Devt, Consultant",151686.0,36.0,Software & IT
WORKDAY INC,1438,9,5,2023,CA,PLEASANTON,99.6,1447,0.994,,,,,
JOHNS HOPKINS UNIVERSITY,1240,8,5,2023,MD,BALTIMORE,99.6,1248,0.994,JOHNS HOPKINS UNIVERSITY,"Postdoctoral Research Fellow, Research Associate, Assistant Professor, Research Scientist, Postdoctoral Fellow",67000.0,61.0,Data & Research
UNIV OF CALIFORNIA SAN FRANCISCO,1146,8,5,2023,CA,SAN FRANCISCO,99.6,1154,0.993,,,,,
CAPITAL ONE SERVICES LLC,3847,27,5,2023,VA,HENRICO,99.6,3874,0.993,,,,,
FORD MOTOR COMPANY,2339,15,5,2023,MI,DEARBORN,99.6,2354,0.994,FORD MOTOR COMPANY,"Software Engineer, Data Engineer, Product Manager, Solutions Architect, Manufacturing Engineer",111987.0,148.0,Software & IT
VISA TECHNOLOGY & OPERATIONS LLC,2050,15,5,2023,CA,FOSTER CITY,99.6,2065,0.993,VISA TECHNOLOGY & OPERATIONS LLC,"Staff Site Reliability Engineer, Data Engineer, Consultant, Sr. Site Reliability Engineer, Software Engineer",139464.0,58.0,Software & IT
WELLS FARGO BANK NA,1576,13,5,2023,SD,SIOUX FALLS,99.5,1589,0.992,,,,,
TARGET ENTERPRISE INC,1351,12,5,2023,MN,MINNEAPOLIS,99.5,1363,0.991,,,,,
CHARLES SCHWAB & COMPANY INC,1508,12,5,2023,TX,LONE TREE,99.5,1520,0.992,,,,,
INTUIT INC,2756,21,5,2023,CA,MOUNTAIN VIEW,99.5,2777,0.992,,,,,
THE LELAND STANFORD JR UNIVERSITY,1596,14,5,2023,CA,STANFORD,99.5,1610,0.991,,,,,
YALE UNIVERSITY,1132,9,5,2023,CT,NEW HAVEN,99.5,1141,0.992,YALE UNIVERSITY,"Research Scientist, Postdoctoral Associate, Assistant Professor, Postdoctoral Associate , Senior Lector",70554.0,61.0,Data & Research
GENERAL MOTORS COMPANY,2216,24,5,2023,MI,DETROIT,99.4,2240,0.989,GENERAL MOTORS COMPANY,"Software Engineer, Researcher, QA Engineer, Solutions Architect, DevOps Engineer",123128.0,123.0,Engineering
GOLDMAN SACHS CO LLC,2287,24,5,2023,NJ,JERSEY CITY,99.4,2311,0.99,,,,,
COLUMBIA UNIVERSITY,1180,12,5,2023,NY,NEW YORK,99.4,1192,0.99,COLUMBIA UNIVERSITY,"Research Scientist, Assistant Professor, Staff Associate, Staff Associate  , Staff Associate Ii",71750.0,75.0,Data & Research
EBAY INC,3465,34,5,2023,CA,SAN JOSE,99.4,3499,0.99,,,,,
ADP TECHNOLOGY SERVICES INC,1678,18,5,2023,NJ,ROSELAND,99.4,1696,0.989,,,,,
CREDIT SUISSE SECURITIES USA LLC,1176,11,5,2023,NY,NEW YORK,99.4,1187,0.991,,,,,
CADENCE DESIGN SYSTEMS INC,1086,11,5,2023,CA,SAN JOSE,99.4,1097,0.99,,,,,
FCA US LLC,1088,11,5,2023,MI,AUBURN HILLS,99.4,1099,0.99,FCA US LLC,"Software Engineer, Product Manager, Automated Driving Software Integration E, Propulsion Systems Launch Center Manager, Program Lead",125496.0,46.0,Engineering
ADVANCED MICRO DEVICES INC,1906,19,5,2023,CA,SANTA CLARA,99.4,1925,0.99,,,,,
JPMORGAN CHASE CO,9456,93,5,2023,IL,CHICAGO,99.4,9549,0.99,,,,,
NIKE INC,1208,15,5,2023,OR,BEAVERTON,99.3,1223,0.988,,,,,
VISA U S A INC,1386,16,5,2023,CA,SAN MATEO,99.3,1402,0.989,,,,,
NVIDIA CORPORATION,4024,45,5,2023,CA,SANTA CLARA,99.3,4069,0.989,NVIDIA CORPORATION,"Software Engineer, Hardware Engineer, Solutions Architect, Research Scientist, Program Manager",173971.0,203.0,Software & IT
BLACKROCK FINANCIAL MANAGEMENT INC,1489,17,5,2023,DE,WILMINGTON,99.3,1506,0.989,,,,,
US BANK NATIONAL ASSOCIATION,2080,24,5,2023,MN,MINNEAPOLIS,99.3,2104,0.989,,,,,
AT&T SERVICES INC,1029,12,5,2023,TX,RICHARDSON,99.3,1041,0.988,,,,,
APPLE INC,15525,185,5,2023,CA,CUPERTINO,99.3,15710,0.988,,,,,
EXPEDIA INC,1990,24,5,2023,WA,SEATTLE,99.3,2014,0.988,,,,,
LINKEDIN CORPORATION,4438,51,5,2023,CA,SUNNYVALE,99.3,4489,0.989,LINKEDIN CORPORATION,"Software Engineer, Data Scientist, Sr Engineer, Site Reliability, Product Manager, Program Manager",163805.0,165.0,Software & IT
WAL MART ASSOCIATES INC,7520,86,5,2023,AR,BENTONVILLE,99.3,7606,0.989,,,,,
LOWES COMPANIES INC,1074,12,5,2023,NC,MOORESVILLE,99.3,1086,0.989,,,,,
NOKIA OF AMERICA CORPORATION,1301,17,5,2023,NJ,MURRAY HILL,99.2,1318,0.987,NOKIA OF AMERICA CORPORATION,"Software Development Engineer, QA Engineer, Solutions Architect, Software Engineer, Solution Engineer",130000.0,71.0,Software & IT
OPTUM SERVICES INC,2217,29,5,2023,MN,MINNETONKA,99.2,2246,0.987,,,,,
BANK OF AMERICA NA,3039,41,5,2023,NC,CHARLOTTE,99.2,3080,0.987,,,,,
BYTEDANCE INC,1272,18,5,2023,CA,MOUNTAIN VIEW,99.2,1290,0.986,,,,,
BARCLAYS SERVICES CORP,1744,23,5,2023,NY,NEW YORK,99.2,1767,0.987,BARCLAYS SERVICES CORP,"Infrastructure Engineer, Business Analyst, Global Lead Equities Market Data, Rtb Production Support, Infrastructure Noops Developer",110000.0,7.0,Software & IT
DOORDASH INC,1317,21,5,2023,CA,SAN FRANCISCO,99.1,1338,0.984,,,,,
AIRBNB INC,1106,16,5,2023,CA,SAN FRANCISCO,99.1,1122,0.986,,,,,
DALLAS INDEPENDENT SCHOOL DISTRICT,913,10,5,2023,TX,DALLAS,99.1,923,0.989,DALLAS INDEPENDENT SCHOOL DISTRICT,"Elementary Bilingual Teacher, High School Math Teacher, Middle School Science Teacher, High School Science Teacher, Middle School Special Education Teacher",65000.0,73.0,Education
PAYPAL INC,4275,65,5,2023,CA,SAN JOSE,99.1,4340,0.985,,,,,
